,Diesase_Name,overview,symptoms_elements,symptoms_paragraph
0,Atrial fibrillation,"In a typical heart, a tiny group of cells at the sinus node sends out an electrical signal. The signal travels through the heart's upper chambers to the atrioventricular (AV) node. The signal then passes into the lower heart chambers, causing them to squeeze and pump out blood. In atrial fibrillation, electrical signals fire from many locations in the upper chambers, causing them to beat chaotically. Since the AV node doesn't prevent all of these chaotic signals from entering the lower chambers, the heart beats faster and irregularly.","Feelings of a fast, fluttering or pounding heartbeat, called palpitations.Chest pain.Dizziness.Fatigue.Lightheadedness.Reduced ability to exercise.Shortness of breath.Weakness.",Symptoms of AFib may include:
1,Abdominal aortic aneurysm,"An abdominal aortic aneurysm occurs when a lower part of the body's main artery, called the aorta, becomes weakened and bulges.","Deep, constant pain in the belly area or side of the belly.Back pain.A pulse near the bellybutton.","Abdominal aortic aneurysms often grow slowly without noticeable symptoms. This makes them difficult to detect. Some aneurysms never rupture. Many start small and stay small. Others grow larger over time, sometimes quickly."
2,Hyperhidrosis,Hyperhidrosis (hi-pur-hi-DROE-sis) is excessive sweating that's not always related to heat or exercise. You may sweat so much that it soaks through your clothes or drips off your hands. Heavy sweating can disrupt your day and cause social anxiety and embarrassment.,Sweating disrupts your daily routineSweating causes emotional distress or social withdrawalYou suddenly begin to sweat more than usualYou experience night sweats for no apparent reason,"The main symptom of hyperhidrosis is heavy sweating. This goes beyond the sweating from being in a hot environment, exercising, or feeling anxious or stressed. The type of hyperhidrosis that usually affects the hands, feet, underarms or face causes at least one episode a week when you're awake. And the sweating usually happens on both sides of the body."
3,Absence seizure,"Absence seizures involve brief, sudden lapses of consciousness. They're more common in children than in adults.",A sudden stop in activity without falling.Lip smacking.Eyelid flutters.Chewing motions.Finger rubbing.Small movements of both hands.,"A simple absence seizure causes a vacant stare, which may be mistaken for a brief lapse in attention. The seizure lasts about 10 seconds, though it may last as long as 30 seconds. There's no confusion, headache or drowsiness after the seizure."
4,Achalasia,Achalasia is a rare disorder that makes it difficult for food and liquid to pass from the swallowing tube connecting your mouth and stomach (esophagus) into your stomach.,"Inability to swallow (dysphagia), which may feel like food or drink is stuck in your throatRegurgitating food or salivaHeartburnBelchingChest pain that comes and goesCoughing at nightPneumonia (from aspiration of food into the lungs)Weight lossVomiting",Achalasia symptoms generally appear gradually and worsen over time. Signs and symptoms may include:
5,Achilles tendon rupture,"The Achilles tendon is a strong fibrous cord that connects the muscles in the back of your calf to your heel bone. If you overstretch your Achilles tendon, it can tear (rupture).","The feeling of having been kicked in the calfPain, possibly severe, and swelling near the heelAn inability to bend the foot downward or ""push off"" the injured leg when walkingAn inability to stand on the toes on the injured legA popping or snapping sound when the injury occurs","Although it's possible to have no signs or symptoms with an Achilles tendon rupture, most people have:"
6,Gastroesophageal reflux disease (GERD),"Acid reflux occurs when the sphincter muscle at the lower end of your esophagus relaxes at the wrong time, allowing stomach acid to back up into your esophagus. This can cause heartburn and other signs and symptoms. Frequent or constant reflux can lead to GERD.","A burning sensation in your chest (heartburn), usually after eating, which might be worse at night or while lying downBackwash (regurgitation) of food or sour liquidUpper abdominal or chest painTrouble swallowing (dysphagia)Sensation of a lump in your throat",Common signs and symptoms of GERD include:
7,Infant reflux,"If the muscle between the esophagus and the stomach relaxes when the stomach is full, food might flow up the baby's esophagus. This muscle is called the lower esophageal sphincter.","Isn't gaining weight.Consistently spits up forcefully, causing stomach contents to shoot out of the mouth. This is called projectile vomiting.Spits up green or yellow fluid.Spits up blood or stomach contents that look like coffee grounds.Refuses to feed or eat.Has blood in the stool.Has difficulty breathing or a cough that won't go away.Begins spitting up at age 6 months or older.Is unusually irritable after eating.Doesn't have much energy.","In most cases, infant reflux isn't a cause for concern. It's unusual for stomach contents to have enough acid to irritate the throat or esophagus and cause symptoms."
8,ACL injury,"The anterior cruciate ligament (ACL) is one of the key ligaments that help stabilize the knee joint. The ACL connects the thighbone (femur) to the shinbone (tibia). It's most commonly torn during sports that involve sudden stops and changes in direction — such as basketball, soccer, tennis and volleyball.","A loud pop or a ""popping"" sensation in the kneeSevere pain and inability to continue activityRapid swellingLoss of range of motionA feeling of instability or ""giving way"" with weight bearing",Signs and symptoms of an ACL injury usually include:
9,Acne,"Acne is a skin condition that occurs when your hair follicles become plugged with oil and dead skin cells. It causes whiteheads, blackheads or pimples. Acne is most common among teenagers, though it affects people of all ages.","Whiteheads (closed plugged pores)Blackheads (open plugged pores)Small red, tender bumps (papules)Pimples (pustules), which are papules with pus at their tipsLarge, solid, painful lumps under the skin (nodules)Painful, pus-filled lumps under the skin (cystic lesions)",Cystic acne — the most severe form of acne — occurs when oil and dead skin cells build up deep within hair follicles. The resulting rupture within your skin may form boil-like inflammation.
